指标名称,MACD金叉,26/55均线金叉,组合_MACD+均线多头,海龟交易法
回测周期_天,311.0,311.0,311.0,311.0
起始资金,100000.0,100000.0,100000.0,100000.0
最终资金,95018.83,99001.48,97394.83,99686.78
总收益率_%,-4.98,-1.0,-2.61,-0.31
基准回报率_%,-3.67,-3.67,-3.67,-3.67
最大总敞口_%,100.0,100.0,100.0,100.0
总费用,2508.83,503.01,1003.04,914.62
最大回撤_%,9.55,12.32,7.07,11.65
最大回撤持续时间_天,196.0,186.0,196.0,186.0
总交易次数,13.0,3.0,5.0,5.0
已平仓交易总次数,13.0,2.0,5.0,4.0
胜率_%,46.15,50.0,40.0,25.0
最佳交易_%,2.37,1.91,2.37,10.42
最差交易_%,-3.27,-2.23,-3.27,-3.25
平均盈利收益率_%,1.32,1.91,1.67,10.42
平均亏损收益率_%,-1.84,-2.23,-1.96,-3.11
平均获胜交易持续时间_天,5.0,61.0,5.0,49.0
平均亏损交易持续时间_天,5.0,24.0,5.0,13.0
利润因子,0.6,0.84,0.56,1.04
期望值,-383.17,-179.73,-521.03,105.22
夏普比率,-0.68,-0.06,-0.48,0.03
卡尔玛比率,-0.61,-0.1,-0.43,-0.03
欧米茄比率,0.81,0.99,0.78,1.01
索提诺比率,-0.96,-0.08,-0.68,0.04
